id;tipo;produto;ano;Total
11;SUCO;Suco de uva concentrado;2012;37624855
12;SUCO;Suco de uva adoçado;2012;533048
13;SUCO;Suco de uva orgânico;2012;0
14;SUCO;Suco de uva reconstituído;2012;0
16;DERIVADOS;Espumante;2012;17200
17;DERIVADOS;Espumante moscatel;2012;139775
18;DERIVADOS;Base espumante;2012;0
19;DERIVADOS;Base espumante moscatel;2012;2798908
20;DERIVADOS;Base Champenoise champanha;2012;369278
21;DERIVADOS;Base Charmat champanha;2012;479625
22;DERIVADOS;Bebida de uva;2012;0
23;DERIVADOS;Polpa de uva;2012;2797665
24;DERIVADOS;Mosto simples;2012;93341575
25;DERIVADOS;Mosto concentrado;2012;0
26;DERIVADOS;Mosto de uva com bagaço;2012;0
27;DERIVADOS;Mosto dessulfitado;2012;0
28;DERIVADOS;Mistelas;2012;200
29;DERIVADOS;Néctar de uva;2012;0
30;DERIVADOS;Licorosos;2012;26775
31;DERIVADOS;Compostos;2012;7600
32;DERIVADOS;Jeropiga;2012;0
33;DERIVADOS;Filtrado;2012;0
34;DERIVADOS;Frisante;2012;778500
35;DERIVADOS;Vinho leve;2012;0
36;DERIVADOS;Vinho licoroso;2012;0
37;DERIVADOS;Brandy;2012;0
38;DERIVADOS;Destilado;2012;0
39;DERIVADOS;Bagaceira;2012;0
40;DERIVADOS;Licor de bagaceira;2012;0
41;DERIVADOS;Vinagre;2012;0
42;DERIVADOS;Borra líquida;2012;0
43;DERIVADOS;Borra seca;2012;0
44;DERIVADOS;Vinho Composto;2012;0
45;DERIVADOS;Pisco;2012;0
46;DERIVADOS;Vinho orgânico;2012;0
47;DERIVADOS;Espumante orgânico;2012;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2012;0
49;DERIVADOS;Vinho acidificado ;2012;0
50;DERIVADOS;Mosto parcialmente fermentado ;2012;0
51;DERIVADOS;Outros derivados;2012;0
2;VINHO DE MESA;Tinto;2013;163111797
3;VINHO DE MESA;Branco;2013;32066403
4;VINHO DE MESA;Rosado;2013;1726022
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2013;23156458
7;VINHO FINO DE MESA (VINÍFERA);Branco;2013;21906349
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2013;719723
10;SUCO;Suco de uva integral;2013;33673396
11;SUCO;Suco de uva concentrado;2013;31206394
12;SUCO;Suco de uva adoçado;2013;0
13;SUCO;Suco de uva orgânico;2013;0
14;SUCO;Suco de uva reconstituído;2013;0
16;DERIVADOS;Espumante;2013;30275
17;DERIVADOS;Espumante moscatel;2013;159781
18;DERIVADOS;Base espumante;2013;0
