Ano;Vinhos;Total;Tipo
2006;Moscato Rosado;5310;Brancas/Rosadas
2007;Moscato Rosado;1226;Brancas/Rosadas
2010;Moscato Rosado;2396;Brancas/Rosadas
2011;Moscato Rosado;7617;Brancas/Rosadas
2020;Moscato Rosado;500;Brancas/Rosadas
2021;Moscato Rosado;15030;Brancas/Rosadas
2018;Muscat à Petits Grains;3000;Brancas/Rosadas
2020;Muscat à Petits Grains;8030;Brancas/Rosadas
2021;Muscat à Petits Grains;895346;Brancas/Rosadas
2010;Ora;4045;Brancas/Rosadas
2006;Palomino;2270;Brancas/Rosadas
2018;Petit Manseng;1430;Brancas/Rosadas
2021;Petit Manseng;570;Brancas/Rosadas
2006;Peverella;137031;Brancas/Rosadas
2007;Peverella;111726;Brancas/Rosadas
2008;Peverella;103270;Brancas/Rosadas
2009;Peverella;48994;Brancas/Rosadas
2010;Peverella;28945;Brancas/Rosadas
2011;Peverella;64218;Brancas/Rosadas
2012;Peverella;43656;Brancas/Rosadas
2013;Peverella;44137;Brancas/Rosadas
2014;Peverella;28452;Brancas/Rosadas
2015;Peverella;40719;Brancas/Rosadas
2016;Peverella;5557;Brancas/Rosadas
2017;Peverella;16350;Brancas/Rosadas
2018;Peverella;33439;Brancas/Rosadas
2020;Peverella;15858;Brancas/Rosadas
2021;Peverella;70925;Brancas/Rosadas
2006;Pinot Blanc;12245;Brancas/Rosadas
2007;Pinot Blanc;14620;Brancas/Rosadas
2008;Pinot Blanc;40109;Brancas/Rosadas
2009;Pinot Blanc;8030;Brancas/Rosadas
2010;Pinot Blanc;16940;Brancas/Rosadas
2011;Pinot Blanc;26307;Brancas/Rosadas
2012;Pinot Blanc;10174;Brancas/Rosadas
2013;Pinot Blanc;8720;Brancas/Rosadas
2014;Pinot Blanc;5980;Brancas/Rosadas
2015;Pinot Blanc;7218;Brancas/Rosadas
2018;Pinot Blanc;17028;Brancas/Rosadas
2020;Pinot Blanc;3000;Brancas/Rosadas
2006;Pinot Gris;41070;Brancas/Rosadas
2007;Pinot Gris;28779;Brancas/Rosadas
2008;Pinot Gris;41660;Brancas/Rosadas
2009;Pinot Gris;52000;Brancas/Rosadas
2010;Pinot Gris;36036;Brancas/Rosadas
2011;Pinot Gris;158788;Brancas/Rosadas
2012;Pinot Gris;187685;Brancas/Rosadas
2013;Pinot Gris;126844;Brancas/Rosadas
2014;Pinot Gris;118123;Brancas/Rosadas
2015;Pinot Gris;118118;Brancas/Rosadas
2016;Pinot Gris;67394;Brancas/Rosadas
2017;Pinot Gris;165697;Brancas/Rosadas
2018;Pinot Gris;98728;Brancas/Rosadas
2020;Pinot Gris;183818;Brancas/Rosadas
2021;Pinot Gris;79922;Brancas/Rosadas
2006;Prosecco;917214;Brancas/Rosadas
2007;Prosecco;910158;Brancas/Rosadas
2008;Prosecco;1930887;Brancas/Rosadas
2009;Prosecco;2169397;Brancas/Rosadas
2010;Prosecco;1345161;Brancas/Rosadas
2011;Prosecco;2720048;Brancas/Rosadas
2012;Prosecco;2420715;Brancas/Rosadas
2013;Prosecco;2852648;Brancas/Rosadas
2014;Prosecco;3030347;Brancas/Rosadas
2015;Prosecco;3319779;Brancas/Rosadas
2016;Prosecco;1873735;Brancas/Rosadas
2017;Prosecco;3342655;Brancas/Rosadas
2018;Prosecco;4018371;Brancas/Rosadas
2020;Prosecco;4393451;Brancas/Rosadas
2021;Prosecco;184218;Brancas/Rosadas
2006;Riesling Italico;1901717;Brancas/Rosadas
2007;Riesling Italico;1960822;Brancas/Rosadas
2008;Riesling Italico;2698892;Brancas/Rosadas
2009;Riesling Italico;2466530;Brancas/Rosadas
2010;Riesling Italico;2120405;Brancas/Rosadas
2011;Riesling Italico;2618429;Brancas/Rosadas
2012;Riesling Italico;3172992;Brancas/Rosadas
2013;Riesling Italico;3069854;Brancas/Rosadas
2014;Riesling Italico;2705224;Brancas/Rosadas
2015;Riesling Italico;3468606;Brancas/Rosadas
2016;Riesling Italico;1697248;Brancas/Rosadas
2017;Riesling Italico;4283929;Brancas/Rosadas
2018;Riesling Italico;3724926;Brancas/Rosadas
2020;Riesling Italico;3020102;Brancas/Rosadas
2021;Riesling Italico;20399648;Brancas/Rosadas
2006;Riesling Renano;213256;Brancas/Rosadas
2007;Riesling Renano;242940;Brancas/Rosadas
2008;Riesling Renano;243690;Brancas/Rosadas
2009;Riesling Renano;90530;Brancas/Rosadas
2010;Riesling Renano;96828;Brancas/Rosadas
2011;Riesling Renano;125166;Brancas/Rosadas
2012;Riesling Renano;195120;Brancas/Rosadas
2013;Riesling Renano;99230;Brancas/Rosadas
2014;Riesling Renano;94276;Brancas/Rosadas
2015;Riesling Renano;153605;Brancas/Rosadas
2016;Riesling Renano;53550;Brancas/Rosadas
2017;Riesling Renano;105100;Brancas/Rosadas
2018;Riesling Renano;121020;Brancas/Rosadas
2020;Riesling Renano;108260;Brancas/Rosadas
2021;Riesling Renano;13385970;Brancas/Rosadas
2006;Sauvignon Blanc(2);606465;Brancas/Rosadas
2007;Sauvignon Blanc(2);618034;Brancas/Rosadas
2008;Sauvignon Blanc(2);608983;Brancas/Rosadas
2009;Sauvignon Blanc(2);657286;Brancas/Rosadas
2010;Sauvignon Blanc(2);350866;Brancas/Rosadas
2011;Sauvignon Blanc(2);612060;Brancas/Rosadas
2012;Sauvignon Blanc(2);855045;Brancas/Rosadas
2013;Sauvignon Blanc(2);633633;Brancas/Rosadas
2014;Sauvignon Blanc(2);515939;Brancas/Rosadas
2015;Sauvignon Blanc(2);614222;Brancas/Rosadas
2016;Sauvignon Blanc(2);295942;Brancas/Rosadas
2017;Sauvignon Blanc(2);677028;Brancas/Rosadas
2018;Sauvignon Blanc(2);517760;Brancas/Rosadas
2020;Sauvignon Blanc(2);818549;Brancas/Rosadas
2021;Sauvignon Blanc(2);728633;Brancas/Rosadas
2007;Sauvignon Gris;3213;Brancas/Rosadas
2008;Sauvignon Gris;5534;Brancas/Rosadas
2009;Sauvignon Gris;2147;Brancas/Rosadas
2010;Sauvignon Gris;3629;Brancas/Rosadas
2011;Sauvignon Gris;8513;Brancas/Rosadas
2012;Sauvignon Gris;2854;Brancas/Rosadas
2013;Sauvignon Gris;3737;Brancas/Rosadas
2014;Sauvignon Gris;921;Brancas/Rosadas
2015;Sauvignon Gris;1504;Brancas/Rosadas
2020;Sauvignon Gris;1028;Brancas/Rosadas
2006;Semillon;600858;Brancas/Rosadas
2007;Semillon;408016;Brancas/Rosadas
2008;Semillon;562371;Brancas/Rosadas
2009;Semillon;382995;Brancas/Rosadas
2010;Semillon;165518;Brancas/Rosadas
2011;Semillon;312204;Brancas/Rosadas
2012;Semillon;336252;Brancas/Rosadas
2013;Semillon;335323;Brancas/Rosadas
2014;Semillon;149939;Brancas/Rosadas
2015;Semillon;177672;Brancas/Rosadas
2016;Semillon;57635;Brancas/Rosadas
2017;Semillon;188211;Brancas/Rosadas
2018;Semillon;225952;Brancas/Rosadas
2020;Semillon;193760;Brancas/Rosadas
2021;Semillon;4000;Brancas/Rosadas
2006;Schonburger;6505;Brancas/Rosadas
2007;Schonburger;15239;Brancas/Rosadas
2008;Schonburger;17687;Brancas/Rosadas
2009;Schonburger;16930;Brancas/Rosadas
2011;Schonburger;14538;Brancas/Rosadas
2012;Schonburger;21348;Brancas/Rosadas
